company,effective_date,location,number_of_workers
YMCA of Metropolitan Detroit,"March 26, 2020","Birmingham, Detroit, Milford, Southgate, Farmington Hills, St. Clair Shores, Livonia, Mt. Clemens, Auburn Hills, Royal Oak, Plymouth, Oscoda, Holly, MI","1,318"
"ZF North America, Inc.","March 26, 2020"," Northville, MI",60
HMS Host,"March 26, 2020"," Detroit, MI",202
"IAC Mendon, LLC","March 24, 2020"," Mendon, MI",311
ZF Chassis Components,"March 24, 2020"," Lapeer, MI",240
"IAC Alma, LLC","March 24, 2020"," Alma, MI",77
"Mann + Hummel USA, Inc.","March 24, 2020"," Portage, MI",377
Art Van Furniture,"March 23, 2020"," Warren, Novi, Grand Rapids, Burton, Shelby Township, Lansing, Alpine, MI",979
The Rapid,"March 23, 2020"," Grand Rapids, MI",270
Marriott - Auburn Hills,"March 23, 2020"," Pontiac, MI",134
Rusty Bucket Restaurant & Tavern,"March 23, 2020"," Bingham Farms, Northville and Bloomfield Hills, MI",260
Thetford Corporation,"March 23, 2020"," Ann Arbor and Dexter, MI",60
Kirchhoff Automotive,"March 20, 2020","Tecumseh, MI",338
Worthington - Canton,"March 19, 2020"," Canton, MI",66
Art Van,"March 06, 2020"," Warren, Novi, Grand Rapids, Burton, Shelby Township, Lansing and Alpine MI",721
Walmart #1824,"March 05, 2020","Ypsilanti, MI",226
Peterson Spring,"February 28, 2020","Madison Heights, MI",60
Penske Logistics,"February 25, 2020","Coldwater, MI",121
Muskegon Family Care,"February 21, 2020","Muskegon, MI",200
"Alticor, Inc.","February 19, 2020","Ada, MI",209
"Knoll, Inc.","February 18, 2020","Grand Rapids, MI",210
Bear Down Logistics,"February 18, 2020","Walker, MI",10
"EXEL, INC. d/b/a/DHL Supply Chain (USA)","February 10, 2020","Detroit, MI",144
Gerdau-Jackson,"February 10, 2020","Jackson, MI",140
UAW-GM Center for Human Resources,"January 30, 2020","Detroit, MI",71
"Gill Industries, Inc.","January 29, 2020","Grand Rapids, MI",59
Oakwood Worldwide (US) LP,"January 29, 2020","Novi, MI",2
"Latcha and Associates, L.L.C.","January 27, 2020","Farmington Hills, MI",66
Hemisphere Design Works,"January 27, 2020","Muskegon, MI",42
Syncreon America Inc.,"January 24, 2020","Warren, MI",84
Cameron International Corp.,"January 21, 2020","Muskegon, MI",64
"DST Industries, Inc.","January 13, 2020","Romulus, MI",122
Motus One,"December 26, 2019","Troy, MI",37
United States Steel Corporation - Great Lakes Works,"December 23, 2019","Ecorse, MI",1286
"Aptim Services, LLC","December 23, 2019","Bridgman, MI",108
"Focus HOPE Companies, Inc.","December 16, 2019","Detroit, MI",58
Logistics Insight Corp.,"December 09, 2019","Detroit, MI",48
General Motors LLC - Detroit Hamtramck Assembly Plant,"December 03, 2019","Detroit, MI",814
P&F Systems,"November 21, 2019","Auburn Hills, MI",91
AmCane Sugar,"November 12, 2019","Taylor, MI",73
Oakwood Worldwide (US) LP,"October 30, 2019","Novi, MI",3
Hemisphere Design Works,"October 29, 2019","Muskegon, MI",68
"Alorica, Inc.","October 25, 2019","Jackson, MI",67
Barber Steel Foundry,"September 20, 2019","Rothbury, MI",61
"Hydro Extrusion North America, LLC","September 13, 2019","Kalamazoo, MI",147
Alticor,"September 11, 2019","Ada & Caledonia, MI",171
JACK Entertainment,"September 09, 2019","Detroit, MI",92
"Nestle, Inc.","September 03, 2019","Plymouth, MI",57
"Venchurs, Inc.","August 16, 2019","Adrian, MI",152
A123 Systems,"August 05, 2019","Livonia, MI",42
US Steel Corporation (Great Lakes Works),"August 05, 2019","Ecorse, MI",48
Presbyterian Villages of Michigan,"August 05, 2019","Southfield, MI",95
Community Development Institute Head Start,"July 24, 2019","Garden City, MI",49
Graham Packaging,"July 03, 2019","Holland, MI",42
Nordstrom,"July 01, 2019","Clinton Township, MI",106
Cocentrix,"June 26, 2019","Southfield, MI",100
State Farm,"June 26, 2019","Portage, MI",247
"Conifer Revenue Cycle Solutions, LLC","June 13, 2019","Detroit, MI",65
Lear Corporation,"June 10, 2019","Taylor, MI",76
Lord & Taylor,"June 05, 2019","Sterling Heights, MI",97
Durham School Services,"May 28, 2019","Ypsilanti, MI",86
General Motors LLC - Warren Transmission Operations,"May 24, 2019","Warren, MI",265
Alticor Inc.,"May 03, 2019","Ada, MI",115
"Concerto Healthcare, Inc.","May 02, 2019","Statewide, MI",151
FCA U.S.,"April 01, 2019","Detroit, MI",703
Detroit Renewable Power,"March 29, 2019","Detroit, MI",166
TreeHouse Private Brands,"March 28, 2019","Battle Creek, MI",51
Kroger,"March 27, 2019","Mt. Pleasant, MI",91
Thomas - Shore,"March 25, 2019","Dexter, MI",80
Fifth Third Bank,"March 22, 2019","Ann Arbor, MI",87
"Lapeer Industries, Inc.","March 13, 2019","Lapeer, MI",160
AMI Livonia,"March 12, 2019","Livonia, MI",96
Kerry Inc.,"February 28, 2019","Kentwood, MI",105
Target,"February 26, 2019","Sterling Heights, MI",136
Amstore Corporation,"February 25, 2019","Grand Rapids, MI",107
"Dakkota Integrated Systems, LLC","February 19, 2019","Brownstown, MI",106
RADGroup,"February 19, 2019","Troy, MI",9
Integrated Manufacturing & Assembly (IMA),"February 06, 2019","Detroit, MI",175
Dormakaba USA,"February 05, 2019","Madison Heights, MI",103
Harsco Rail,"February 04, 2019","Ludington, MI",151
GM Warren Technical Center,"February 04, 2019","Warren, MI","1,298"
Monroe Bank and Trust,"February 04, 2019","Monroe, MI",93
PPG Coatings,"February 04, 2019","Livonia, MI",46
Ford Motor Co. - Flat Rock,"February 01, 2019","Flat Rock, MI",1012
Trinity Health Senior Communities,"January 29, 2019","Ypsilanti, MI",115
Tribus Services,"January 29, 2019","Lansing and Waterford, MI",208
Reprise Media,"January 10, 2019","Birmingham, MI",92
Universal McCann Worldwide,"January 10, 2019","Birmingham, MI",116
Mediabrands Worldwide,"January 10, 2019","Birmingham, MI",5
Adient USA LLC,"December 21, 2018","Charlotte, MI",212
"Bosal Industries-Georgia, Inc.","December 21, 2018","Ypsilanti, MI",58
GM - Brownstown Plant,"December 17, 2018","Brownstown Township, MI",50
GM - Hamtramck #1,"December 17, 2018","Detroit, MI",648
GM - Hamtramck #2,"December 17, 2018","Detroit, MI",48
"Alutiiq Professional Services, LLC","December 05, 2018","Flint, MI",25
"Alphi Manufacturing, LLC","November 29, 2018","Jonesville, MI",106
Hard Rock Café International,"November 28, 2018","Detroit, MI",60
Concentrix,"November 07, 2018","Southfield, MI",209
Lowe's,"November 05, 2018","Flint and Burton, MI",235
Perfection Associates LLC,"November 05, 2018","Coldwater, MI",74
Ernest Industries,"October 30, 2018","Westland, MI",70
"Harman International Industries, Inc.","October 25, 2018","Novi, MI",42
Bimbo Bakeries USA,KinderCare Education,"Professional Educational Services Group, LLC","October 23, 2018","Caledonia, MI",18
Sears,"October 19, 2018","Lincoln Park, MI",96
"Spectrum Industries Decorative Finishes, Inc.","October 09, 2018","Kentwood & Grand Rapids, MI",134
State Farm,"October 04, 2018","Livonia, MI",62
Great North Foods,"September 24, 2018",MI,19
LenderLive,"September 20, 2018","Madison Heights, MI",45
Menzies Aviation Inc.,"September 14, 2018","Detroit, MI",189
Coca-Cola - Great Lakes,"September 07, 2018","Kalamazoo, MI",102
American Red Cross,"August 29, 2018","Statewide, MI",262
"Kenco, Inc.","August 27, 2018","Dexter, MI",49
Charter Communications,"August 06, 2018","Livonia, MI",60
Charter Communications,"August 01, 2018","Walker, MI",51
Teleperformance USA,"August 01, 2018","Grand Rapids, MI",91
"Dream Center Education Holdings, LLC","June 29, 2018","Novi, MI",114
"Country Fresh, LLC","June 21, 2018","Livonia, MI",103
SMART Oakland Terminal,"June 08, 2018","Troy, MI",318
Sears Auto Center #06492,"June 07, 2018","Dearborn, MI",8
Sears Auto Center #06472,"June 07, 2018","Sterling Heights, MI",5
"Sears, Roebuck and Company Store #01720","June 07, 2018","Sterling Heights, MI",63
"Sears, Roebuck and Company Store #01700","June 07, 2018","Dearborn, MI",58
Edward Brothers Malloy,"June 04, 2018","Ann Arbor, MI",282
Gardens Alive! Farms,"June 04, 2018","Grand Haven, MI",300
Trinity - Dept. of Corrections,"May 29, 2018","Statewide, MI",160
Trinity - Dept of Corr,"May 09, 2018","Statewide, MI",119
Sodexo,"May 03, 2018","Detroit, MI",34
New Center Community Services,"April 30, 2018","Detroit and Highland Park, MI",66
MB Financial Bank,"April 26, 2018","Statewide, MI",594
Izzy+,"April 23, 2018","Spring Lake, MI",72
Bosal,"April 23, 2018","Ypsilanti, MI",40
"Trinity Services Group, Inc.","April 19, 2018","Baraga, Marquette, and Marenisco; MI",28
Bon Ton - Carson's and Younkers,"April 09, 2018","Grandville, Livonia, Rochester Hills, Clinton; MI","163, 204, 130, 191"
Hazel Park Raceway,"April 06, 2018","Hazel Park, MI",Unknown
Live Nation - Fillmore Detroit,"April 02, 2018","Detroit, MI",180
Envoy,"March 14, 2018","Detroit, MI",114
Quest Diagnostics,"March 08, 2018","Troy, MI",57
Integrated Manufacturing & Assembly - IMA,"March 05, 2018","Highland Park, MI",127
Ford Motor Company - Wayne,"March 02, 2018","Wayne, MI","2,000"
Bosal,"February 08, 2018","Ypsilanti, MI",77
BonTon Stores,"February 05, 2018","Adrian & Benton Harbor, MI",Unknown
Compass Group,"February 05, 2018","Statewide, MI",396
AT&T Detroit,"January 26, 2018","Detroit, MI",114
Kellogg - Battle Creek RTEC Plant,"January 24, 2018","Battle Creek, MI",14
