company,effective_date,location,number_of_workers
"LAZ Parking Midwest, LLC",03/15/2020-04/11/2020,"Columbus, OH",154
Nine Energy Service,03/12/2020-04/09/2020,"Marietta, OH",60
International Exposition Center (I-X Center),03/20/2020-04/03/2020,"Cleveland, OH",176
Enterprise Holdings,04/30/2020,"Columbus, OH",35
Enterprise Holdings,04/30/2020,"Blue Ash, OH",14
Enterprise Holdings,04/30/2020,"Columbus, OH",3
Enterprise Holdings,03/23/2020,"Columbus, OH",66
Enterprise Holdings,03/23/2020,"Blue Ash, OH",163
Enterprise Holdings,03/23/2020,"Columbus, OH",80
"Collegiate Hotel Group, LLC",03/16/2020,"Columbus, OH",135
HMS Host Corporation,06/01/2020,"Mantua, OH",84
ASWPengg LLC,06/30/2020,"Bedford Heights, OH",122
Cox Automotive,05/17/2020,"Hamilton, OH",80
Cox Automotive,05/17/2020,"Grove City, OH",117
VSP Global,05/01/2020,"Columbus, OH",128
"Specialty Retailers, Inc. (Stage Distribution Center)",05/07/2020,"Jeffersonville, OH",287
QMax America Inc.,05/08/2020,"Newcomerstown, OH",3931
DoubleTree Cleveland Downtown,03/21/2020,"Cleveland, OH",97
Hilton Columbus Polaris,03/21/2020-08/31/2020,"Columbus, OH",94
Hyatt Regency Cincinnati,05/06/2020,"Cincinnati, OH",73
Northfield Park Associates -MGM Northfield Park,03/02/2020-03/15/2020,"Northfield, OH",937
MGM Resorts Satellite LLC,03/02/2020-03/15/2020,"Northfield, OH",1
Brentwood Originals Inc.,05/01/2020,"Youngstown, OH",19
B&C Research Inc.,04/03/2020-06/01/2020,"Barberton, OH",121
Licking County Library,05/11/2020,"Various Cities, OH",58
ArcelorMittal Warren LLC,4/26/2020,"Warren, OH",2
"Mitec-Powertrain, Inc. & Automotive, Inc.",Unknown,"Findlay, OH",186
"Great Lakes Specialty Finance, Inc.",06/05/2020,"Fairfield, OH",2
"LeSaint Logistics, LLC",06/19/2020,"Cleveland, OH",70
The Hall China Company,04/30/2020-05/30/2020,"East Liverpool, OH",40
The Shelly Company,03/13/2020,"Thornville, OH",22
Atrium Hospitality (Marriott),03/12/2020,"Columbus, OH",104
Atrium Hospitality (Holiday Inn & Suites),03/12/2020,"Cincinnati, OH",60
ArcelorMittal USA LLC,04/26/2020,"Richfield, OH",2
"DBOH Associates, LLC",03/20/2020,"Beachwood, OH",85
"Sodexo, Inc.",06/30/2020,"Middletown, OH",57
Enterprise Holdings,03/22/2020,"Hudson, OH",94
Enterprise Holdings,03/22/2020,"Cleveland, OH",65
Enterprise Holdings,03/22/2020,"Brookpark, OH",92
Enterprise Holdings,04/30/2020,"Hudson, OH",1
Enterprise Holdings,04/30/2020,"Cleveland, OH",14
Enterprise Holdings,04/30/2020,"Brookpark, OH",1
American Energy Corporation,05/02/2020,"Beallsville, OH",110
"Great Lakes Specialty Finance, Inc.",04/21/2020,"Akron, OH",1
