Timber Ridge Lodge & Waterpark,07/31/2020,"Lake Geneva, WI",5,2020
Briggs & Stratton,08/28/2020,"Wauwatosa, WI",228,2020
Adecco USA Inc.,08/28/2020,"Wauwatosa, WI",120,2020
GE Healthcare,08/31/2020,"Wauwatosa, WI",123,2020
Kimpton Journeyman Hotel,03/15/2020,"Milwaukee, WI",97,2020
Hilton Garden Inn - Milwaukee Airport,06/30/2020,"Milwaukee, WI",48,2020
Home2 Suites,06/30/2020,"Milwaukee, WI",16,2020
SpringHill Suites,06/30/2020,"Madison, WI",37,2020
Hampton Inn and Suites,06/30/2020,"Madison, WI",45,2020
Marriott Milwaukee Downtown,04/03/2020,"Milwaukee, WI",56,2020
SpringHill Suites Milwaukee,04/03/2020,"Milwaukee, WI",20,2020
Westin Milwaukee,03/20/2020,"Milwaukee, WI",78,2020
Delaware North Companies Inc.,03/01/2020,"Milwaukee, Green Bay, WI",1303,2020
Rev Group Inc,09/21/2020,"Brookfield, Milwaukee, WI",43,2020
Cintas Corporation,07/02/2020,"Menomonee Falls, WI",92,2020
The Madison Consourse Hotel,09/13/2020,"Madison, WI",114,2020
Forest County Potawatomi Community,03/17/2020,"Milwaukee, Wabeno, Crandon, WI",1835,2020
United Alloy Inc,07/17/2020,"Janesville, WI",108,2020
North Central Staffing,03/14/2020,"Middleton, WI",71,2020
North Central Staffing,3/14/2020,"Madison, WI",75,2020
North Shore Healthcare,10/25/2020,"Shawano, WI",44,2020
Air Wisconsin Airlines,10/01/2020,"Milwaukee, Appleton, WI",361,2020
Helgesen,09/30/2020,"Hartford, WI",102,2020
Northern Engraving Corporation,07/31/2020,"Holmen, WI",61,2020
"Stellar Mold & Tool, Inc.",08/03/2020,"Galesville, WI",22,2020
Wacker Neuson,03/23/2020,"Menomonee Falls, WI",186,2020
Courier Distribution Systems,10/02/2020,"Sussex, WI",98,2020
Phillips Medisize,10/15/2020,"Eau Claire, WI",98,2020
Aramark at the Fluno Center,08/31/2020,"Madison, WI",60,2020
Pereles Brothers Inc.,10/01/2020,"Milwaukee, WI",49,2020
Sentry Services,04/19/2020,"Stevens Point, WI",112,2020
APL Logistics Warehouse Management Services,10/31/2020,"Pleasant Prairie, WI",86,2020
"Avis Budget Car Rental, LLC",04/01/2020,"La Crosse, Milwaukee, WI",10,2020
Hyatt Place Madison,03/15/2020,"Madison, WI",26,2020
Fresh Thyme,09/17/2020,"Menomonee Falls, WI",56,2020
"Frank Productions, LLC.",09/20/2020,"Madison, WI",39,2020
Sodexo,03/15/2020,"Milwaukee, WI",73,2020
P.F. Chang's China Bistro,09/17/2020,"Wauwatosa, WI",75,2020
P.F. Chang's China Bistro,09/17/2020,"Appleton, WI",75,2020
"Bartolotta Restaurant Group, LLC",03/16/2020,"Milwaukee, WI",268,2020
"Mondi Akrosil, LLC",02/01/2021,"Pleasant Prairie, WI",92,2020
Advanced Pain Management LLC,10/31/2020,"Appleton, Greenfield, Kenosha, Madison, Milwaukee, Mount Pleasant, Prairie du Sac, Sheboygan, West Bend, WI",238,2020
IHG Management (Maryland) LLC,11/30/2020,"Wauwatosa, WI",31,2020

Regal Beloit America Inc.,Clinton,59,01/31/2020
Regal Beloit America Inc. - Revision 1,Clinton,57,01/31/2020
Regal Beloit America Inc. - Revision 2,Clinton,56,01/31/2020
Regal Beloit America Inc. - Revision 3,Clinton,56,01/31/2020
Regal Beloit America Inc. - Revision 4,Clinton,56,01/31/2020
"Alorica, Inc.",Green Bay,157,02/28/2020

Chancery Pub and Restaurant,Kenosha,77,12/31/2019
CFS Brands,Sparta,83,01/31/2020
Cerner Corporation,Beloit,1,01/14/2020
Kohler Co.,Kohler,90,01/12/2020
Kohler Co. - Revision 1,Kohler,75,05/03/2020
"Transform KM, LLC",Kenosha,70,02/16/2020
JB Milwaukee Healthcare,Milwaukee,120,01/20/2020
Dycora Transitional Health - Colonial Manor,Glendale,66,01/17/2019
"Olameter DPG, LLC",Oak Creek,70,12/31/2019

"TGI Friday's Inc./Milwaukee Front Row Joint Venture, LLC.",Milwaukee,86,12/06/2019
Multi-Color Corporation,Green Bay,39,12/16/2019
Silgan Containers,Menomonee Falls,22,11/18/2019
Gardner Pet Group,West Bend,36,01/17/2020
"INNIO Waukesha Gas Engines, Inc.",Waukesha,75,12/31/2019
Georgia-Pacific Consumer Operations LLC,Greeny Bay,55,12/16/2019

Richter Foods-Burlington Inc.,Burlington,70,09/15/2019
Nestle USA Inc.,Medford,32,11/01/2019
Nestle USA Inc.,Appleton,32,11/01/2019
Nestle USA Inc.,Delavan,31,11/01/2019
Nestle USA Inc.,Sussex,31,11/01/2019
Transform KM LLC,Racine,47,12/15/2019

Schneider National Carriers Inc.,Green Bay,85,09/30/2019
Forrer Business Interiors,Milwaukee,58,08/02/2019
Forrer Business Interiors - Revision 1,Milwaukee,58,08/02/2019
Hi-Crush Services LLC,Whitehall,40,08/30/2019
C&D Technologies,Milwaukee,158,10/05/2019
Transform KM LLC,Waupaca,41,11/17/2019

Silgan Containers Manufacturing Corporation,Waupun,70,11/08/2019
Silgan Containers Manufacturing Corporation - Revision 1,Waupun,70,11/15/2019
Arvato Digital Services,Pleasant Prairie,95,09/01/2019
Tramontina US Cookware,Manitowoc,145,09/08/2019
US Bank,Eau Claire,43,10/01/2019
"Bonton Department Store [aka Saks 5th Avenue, aka Saks 5th Avenue OFF 5TH]",Wauwatosa,39,09/30/2019
Community Development Institution - Head Start,Milwaukee,74,08/31/2019
Flambeau River Papers,Park Falls,65,Unknown
Flambeau River Papers - Revision 1,Park Falls,108,09/24/2019
ResCare Workforce Services,Milwaukee,99,09/30/2019

Beauty Systems Group,Marinette,84,07/29/2019
Intel Corporation,Eau Claire,62,08/15/2019
Lee Enterprises,La Crosse,20,08/10/2019
Piggly Wiggly,Kenosha,59,08/24/2019
Alliance Industries,Marinette,22,09/01/2019

Mayo Clinic Health System - Franciscan,La Crosse,Unknown,07/01/2019
Covia Corporation,Maiden Rock,52,05/08/2019
The Journal Times,Racine,39,07/14/2019
Merit Gear,Antigo,80,01/01/2020
BMO Harris,Brown Deer,51,05/30/2019

F+W Media Inc.,Stevens Point,66,05/31/2019
Iron Mountain Trap Rock Co.,Bloomer,32,10/26/2018
Shopko,"Manitowoc,Plover",99,04/14/2019
Inmar,Milwaukee,265,06/15/2019
Sodexo Services,Oshkosh,87,07/10/2019
Silver Star Brands,Oshkosh,62,06/24/2019
Durham School Services,Racine,211,07/31/2019
Backyard Products,Janesville,23,08/01/2019
Saputo Cheese USA,Dresser,49,05/31/2019
"LifeCare Management Services, LLC",Pewaukee,171,06/23/2019

Post Acute Medical Specialty Hospital of Milwaukee,Milwaukee,172,05/30/2019
Heidel House Resort & Spa,Green Lake,111,05/20/2019
Motor Castings Company,Milwaukee,113,05/20/2019
CasTech,West Allis,4,05/20/2019
Radial,Eau Claire,142,05/28/2019
Dentsply Sirona,Racine,49,07/01/2019
"D.E.N. Services, Inc.",Clintonville,101,06/30/2019
SHOPKO,"Abbotsford, Adams, Appleton, Arcadia, Ashwaubenon, Beaver Dam, Chippewa Falls, Clintonville, De Pere, Eagle River, Eau Claire, Fond du Lac, Fort Atkinson, Green Bay, Janesville, La Crosse, Lancaster, Marshfield, Mequon, Monroe, Neillsville, Oconto, Onalaska, Oshkosh, Park Falls, Reedsburg, Rice Lake, River Falls, Rothschild, Sister Bay, Spooner, Stanley, Suamico, Tomahawk, Waukesha, Wausau, Wautoma, Wisconsin Rapids",1715,06/16/2019
Zalk Josephs Fabricators LLC,Stoughton,Unknown,05/27/2019
"Spectrum Transportation Services, LLC",De Pere,9,05/20/2019
Spectrum America Supply Chain Solutions Inc.,De Pere,216,05/20/2019

US Bank,Brookfield,40,04/05/2019
Covia Corp.,Tomah,29,02/07/2019
Armor Correctional Health Service Inc.,Milwaukee,100,03/31/2019
ShopKo,"De Pere, Watertown, Beloit, Racine, Kimberly, Kenosha, Monona, Marinette, Sheboygan, Delavan, Rhinelander",578,05/06/2019
Wellspring of Milwaukee,Milwaukee,160,04/12/2019
Shopko Store Support Center,Green Bay,140,04/08/2019
ABQC Corporation,Milwaukee,35,03/31/2019

"Figi's Companies, Inc.","Marshfield, Stevens Point, Neillsville",279,01/04/2019
Petco - Drs. Foster & Smith,Rhinelander,289,03/10/2019
Kimberly-Clark Corp.,Neenah,74,03/15/2019
Kimberly-Clark Corp. - Revision 1,Neenah,65,03/15/2019
Compass Minerals America Inc.,Kenosha,38,02/01/2019
"Becton, Dickinson and Company",Franklin,2,03/22/2019
Shopko Stores,Madison,63,04/12/2019
Unison (formerly known as: Interfaith Older Adult Programs Inc.),"Milwaukee, Cudahy, Brown Deer",53,12/21/2018
Lacrosse Hardwood Flooring,Westby,65,03/18/2019
Pepin Health and Rehab,Pepin,54,03/23/2019
Alkar-Rapid Pak Inc,Lodi,30,01/22/2019

Prinsco,Appleton,33,02/04/2019

GE Global Operations,Wauwatosa,63,01/12/2019
Kmart Corporation,Cudahy,75,01/31/2019
Intercontinental Milwaukee,Milwaukee,115,01/08/2019
Beechworth Windows,Ladysmith,80,01/07/2019

Target Corporation,Greenfield,138,02/02/2019
"Sunlite Plastics, Inc.",Germantown,58,10/29/2018
Milwaukee Athletic Club,Milwaukee,97,12/27/2018
Bimbo Bakeries USA,Madison,159,01/02/2019
"Black Horse Carriers, Inc.",Kenosha,107,01/22/2019
Home Owners Bargain Outlet,"Milwaukee, West Allis",104,12/20/2018
Southwire/Coleman Cable,Pleasant Prairie,65,12/04/2018
Hi-Crush,Whitehall,37,09/28/2018

Silgan Containers,Plover,30,11/24/2018
Marshfield Clinic Health System,Marshfield,25,08/16/2018
Midwest Senior Living,Thiensville,30,11/01/2018

P.F. Chang's,Middleton,36,09/01/2018
"ACCO Brands USA, LLC",Pleasant Prairie,54,10/26/2018
"Com-Tec Security, LLC",Greenville,23,07/31/2018
OneTouchPoint,Green Bay,30,08/01/2018
Best Buy,Grafton,68,11/03/2018
Midwest Senior Living,Appleton,54,10/01/2018
West Corporation,Middleton,112,08/31/2018
West Corporation,Green Bay,36,08/31/2018

Schuman Cheese,Fall Creek,51,07/12/2018
"The Fresh Market, Inc.","Brookfield, Fox Point",102,08/03/2018
Mayline (DBA Safco Products Co.),Sheboygan,127,09/04/2018
Mayline (DBA Safco Products Co.) - Revision 1,Sheboygan,127,11/02/2018
Mayline (DBA Safco Products Co.) - Revision 2,Sheboygan,127,09/04/2018

GE Energy,Waukesha,236,08/31/2018
Cooper Power Systems,Waukesha,52,09/07/2018
Ariens Company,Janesville,141,08/20/2018
"Roche Nimblegen, Inc.",Madison,79,12/31/2018
"Daniels of Janesville, LLC",Janesville,49,08/15/2018
DHL Supply Chain,Mequon,59,08/10/2018
Piggly Wiggly #24,Menasha,69,08/18/2018
Wells Fargo,Menomonee Falls,46,10/01/2018

BMO Harris Bradley Center,Milwaukee,651,08/10/2018
"Western Industries, Inc.",Watertown,85,07/16/2018
M.G. Design Associates Corporation,Pleasant Prairie,46,05/09/2018
Degen-Berglund Inc,La Crosse,30,07/08/2018
Concentrix,Milwaukee,77,07/06/2018

American Girl,Wilmot,185,06/22/2018
First Citizens Bank,Brown Deer and Glendale,100,06/08/2018
First Citizens Bank - Revision 1,Brown Deer and Glendale,100,06/08/2018
First Citizens Bank - Revision 2,Brown Deer and Glendale,111,06/08/2018
